target_field,driver_field,lag_months,regional_weighted_mean_r,regional_weighted_mean_r2_percent,valid_pixels,significant_pixels_p_lt_0_05,significant_fraction_percent,median_r,median_r2_percent,min_samples
grace,pdd,0,-0.01938183984679802,0.037565571584692745,2440,195,7.991803278688525,-0.028692696896725788,0.3527483240182455,24
grace,pdd,1,-0.030363409951422893,0.09219366638781668,2440,362,14.836065573770492,-0.04665520580563162,0.5024271838526086,24
grace,pdd,2,-0.026347875753323164,0.06942105567125546,2440,312,12.78688524590164,-0.03593795470110632,0.45738469697296,24
grace,pdd,3,-0.02328221592854269,0.05420615785432869,2440,233,9.549180327868852,-0.030542712235522147,0.40765118596700856,24
grace,pdd,4,-0.02368396896380424,0.05609303858784426,2440,234,9.59016393442623,-0.032580327443840165,0.3964850567283414,24
grace,pdd,5,-0.0250047947925115,0.06252397626156103,2440,241,9.87704918032787,-0.032974135887078454,0.3923711589832662,24
grace,pdd,6,-0.027210159850559894,0.07403927990930216,2440,274,11.229508196721312,-0.040586144643832825,0.4941267225080671,24
grace,pdd,7,-0.032019254174126446,0.10252326378673139,2440,297,12.172131147540984,-0.047307114218624616,0.51856711567669,24
