mode,explained_variance_ratio,explained_variance_percent
1,0.62110596869635,62.110596869635
2,0.08619987343834608,8.619987343834607
3,0.06784723673491487,6.784723673491487
4,0.057452164262410156,5.745216426241016
5,0.04169397854125301,4.1693978541253
