lat,lon,corr_r,abs_r,corr_p,samples_n
67.25,-51.25,-0.8359082570366069,0.8359082570366069,2.6980560016510203e-66,249
67.25,-53.25,-0.8353736587619955,0.8353736587619955,3.891895262859574e-66,249
65.75,-50.25,-0.8350989424806188,0.8350989424806188,4.695716110412586e-66,249
62.75,-42.25,-0.8347554178295103,0.8347554178295103,5.935469091552229e-66,249
66.75,-51.75,-0.8334172601920259,0.8334172601920259,1.470968897247358e-65,249
67.25,-50.75,-0.8319184614894837,0.8319184614894837,4.026509261179701e-65,249
66.75,-50.75,-0.8311452224384228,0.8311452224384228,6.743126749331654e-65,249
66.75,-50.25,-0.8306411608338321,0.8306411608338321,9.423843638192231e-65,249
67.25,-50.25,-0.8306387495802913,0.8306387495802913,9.438919920306932e-65,249
66.25,-50.75,-0.8305889752464318,0.8305889752464318,9.755521810289478e-65,249
67.25,-49.75,-0.8297758431105293,0.8297758431105293,1.669791727950323e-64,249
66.75,-49.75,-0.8274193047953906,0.8274193047953906,7.801601188099994e-64,249
81.25,-60.25,-0.82606352976396,0.82606352976396,1.8740776222182267e-63,249
62.75,-42.75,-0.825162025571057,0.825162025571057,3.342275003500565e-63,249
63.25,-41.75,-0.8248459277761367,0.8248459277761367,4.0907141332213867e-63,249
61.75,-42.75,-0.824495663403946,0.824495663403946,5.114884151484972e-63,249
66.75,-52.75,-0.8218317882736694,0.8218317882736694,2.7532088824017157e-62,249
81.25,-60.75,-0.8211195804744666,0.8211195804744666,4.297477335001961e-62,249
63.75,-41.25,-0.8188043303580397,0.8188043303580397,1.8027779259659212e-61,249
70.25,-25.75,-0.8140443830641181,0.8140443830641181,3.226159989111527e-60,249
66.25,-51.75,-0.8138019097836523,0.8138019097836523,3.728510444096028e-60,249
80.25,-63.25,-0.8096386281533393,0.8096386281533393,4.3304040269422435e-59,249
80.25,-62.75,-0.8090016711403375,0.8090016711403375,6.268313875818065e-59,249
80.25,-63.75,-0.808185812013921,0.808185812013921,1.0046317598382586e-58,249
80.25,-62.25,-0.8077149026895668,0.8077149026895668,1.3176551407701283e-58,249
80.75,-64.75,-0.8073030370261416,0.8073030370261416,1.6694007293421073e-58,249
80.75,-64.25,-0.8062243468177346,0.8062243468177346,3.0939853303186516e-58,249
80.25,-61.75,-0.8060555652881163,0.8060555652881163,3.406377635316046e-58,249
80.75,-62.25,-0.8057971715343746,0.8057971715343746,3.9460938327264066e-58,249
62.25,-42.75,-0.8056096529530842,0.8056096529530842,4.3899708472693306e-58,249
80.75,-61.75,-0.8054220480100039,0.8054220480100039,4.8834493116193606e-58,249
80.75,-62.75,-0.8053904289214107,0.8053904289214107,4.971864286715077e-58,249
80.75,-63.75,-0.8047501795679205,0.8047501795679205,7.145004474813196e-58,249
80.75,-63.25,-0.8046223837837809,0.8046223837837809,7.680097097982472e-58,249
80.25,-64.25,-0.8040343376698832,0.8040343376698832,1.070012826982795e-57,249
66.25,-51.25,-0.8038446295530106,0.8038446295530106,1.190549104728055e-57,249
80.25,-61.25,-0.8036380348718535,0.8036380348718535,1.3371324988118012e-57,249
81.25,-50.75,-0.803481205004936,0.803481205004936,1.4602073120051686e-57,249
81.25,-51.25,-0.8033839110395122,0.8033839110395122,1.542128246413671e-57,249
81.75,-50.75,-0.8030959114049525,0.8030959114049525,1.8122356897779562e-57,249
81.75,-47.75,-0.8030696439264766,0.8030696439264766,1.8390856421100636e-57,249
81.75,-50.25,-0.8029439911155908,0.8029439911155908,1.9730709462517654e-57,249
81.75,-47.25,-0.8029057821721292,0.8029057821721292,2.0156970648541616e-57,249
81.75,-48.25,-0.8029027742750866,0.8029027742750866,2.0190911338135824e-57,249
81.25,-50.25,-0.8028151701661296,0.8028151701661296,2.1204624542552523e-57,249
81.75,-46.75,-0.8026327625175275,0.8026327625175275,2.3479776047218824e-57,249
67.75,-33.75,-0.8025907297659858,0.8025907297659858,2.4037379472033798e-57,249
81.25,-51.75,-0.8025678935651811,0.8025678935651811,2.4345796665181913e-57,249
81.75,-48.75,-0.802455608833694,0.802455608833694,2.5920180334539797e-57,249
81.75,-49.25,-0.8024167386933139,0.8024167386933139,2.648834005816116e-57,249
80.25,-59.75,-0.8024151825492257,0.8024151825492257,2.651134081451499e-57,249
81.25,-52.25,-0.8023750671083878,0.8023750671083878,2.711114231609884e-57,249
81.75,-49.75,-0.8022491045145065,0.8022491045145065,2.9083183693133095e-57,249
80.25,-60.75,-0.8017805092266924,0.8017805092266924,3.774770490193578e-57,249
81.75,-46.25,-0.8016331126170814,0.8016331126170814,4.096850647310721e-57,249
81.75,-51.75,-0.8015934678782256,0.8015934678782256,4.1880258215028074e-57,249
81.25,-49.75,-0.8015546172675917,0.8015546172675917,4.2793221925969025e-57,249
70.25,-27.25,-0.8005099271439924,0.8005099271439924,7.628497327959039e-57,249
65.25,-49.75,-0.8002980856755652,0.8002980856755652,8.573686051691226e-57,249
81.25,-52.75,-0.8002683127520736,0.8002683127520736,8.715498788647874e-57,249
81.75,-52.25,-0.8001798999903101,0.8001798999903101,9.150447705273073e-57,249
81.75,-52.75,-0.8000660842170094,0.8000660842170094,9.742125191359997e-57,249
81.75,-53.75,-0.8000488526431498,0.8000488526431498,9.834945123758684e-57,249
68.25,-32.75,-0.8000007740358095,0.8000007740358095,1.0098579450104598e-56,249
80.75,-61.25,-0.7996969202751334,0.7996969202751334,1.1934202997960373e-56,249
80.25,-60.25,-0.7995980881010343,0.7995980881010343,1.2599658629868736e-56,249
81.75,-45.75,-0.7995618747397923,0.7995618747397923,1.2852574184381456e-56,249
81.75,-54.75,-0.7993888574144727,0.7993888574144727,1.4132005978759366e-56,249
81.25,-49.25,-0.7992294984236709,0.7992294984236709,1.542155957037996e-56,249
68.25,-32.25,-0.7988578464714764,0.7988578464714764,1.8899128955886166e-56,249
81.75,-55.25,-0.7987542637455978,0.7987542637455978,1.9999654767145253e-56,249
81.75,-56.75,-0.7981877434725272,0.7981877434725272,2.7239971096392733e-56,249
81.75,-57.75,-0.7981201401356,0.7981201401356,2.8261182721241713e-56,249
81.75,-55.75,-0.7976409012987303,0.7976409012987303,3.6671116156372693e-56,249
81.25,-59.75,-0.7976270856593632,0.7976270856593632,3.6947159987060764e-56,249
81.75,-56.25,-0.7974639957398836,0.7974639957398836,4.0365390856534003e-56,249
81.25,-53.25,-0.7967437012981635,0.7967437012981635,5.960853033408101e-56,249
81.75,-58.75,-0.7966622006542523,0.7966622006542523,6.22904456019678e-56,249
81.75,-45.25,-0.796609900247742,0.796609900247742,6.407402525485497e-56,249
81.25,-53.75,-0.7956662058166453,0.7956662058166453,1.0648621244005082e-55,249
81.25,-48.75,-0.7956612297805324,0.7956612297805324,1.0677106377009221e-55,249
81.75,-59.25,-0.7956142362738581,0.7956142362738581,1.0949865144341005e-55,249
80.25,-59.25,-0.7952687572167765,0.7952687572167765,1.3178298849155257e-55,249
81.25,-54.25,-0.7949912219416294,0.7949912219416294,1.5288893353266976e-55,249
81.75,-59.75,-0.7944121827843933,0.7944121827843933,2.0828650278764776e-55,249
81.75,-44.75,-0.794271972865763,0.794271972865763,2.2444624929926647e-55,249
81.25,-54.75,-0.7939719117707508,0.7939719117707508,2.6331524171569323e-55,249
69.25,-25.75,-0.7935110815333698,0.7935110815333698,3.363408638329658e-55,249
81.75,-44.25,-0.7931250470118021,0.7931250470118021,4.126874089522502e-55,249
81.25,-59.25,-0.790404681033713,0.790404681033713,1.7232957921157934e-54,249
81.25,-48.25,-0.7899506854425502,0.7899506854425502,2.183009993819908e-54,249
70.25,-27.75,-0.7895215679575918,0.7895215679575918,2.7282908919638485e-54,249
80.75,-60.75,-0.7878942239997081,0.7878942239997081,6.3251833797591e-54,249
81.25,-55.25,-0.7876119673225555,0.7876119673225555,7.312832757461901e-54,249
82.25,-49.25,-0.7864453142448776,0.7864453142448776,1.3289842845100407e-53,249
81.25,-47.75,-0.7854656262643558,0.7854656262643558,2.1883840812754316e-53,249
81.75,-43.75,-0.7831994820071343,0.7831994820071343,6.867954472885251e-53,249
81.25,-47.25,-0.7821729053907941,0.7821729053907941,1.14781994609775e-52,249
68.75,-28.25,-0.7809013122032036,0.7809013122032036,2.160136610839569e-52,249
70.25,-28.25,-0.7790340035214832,0.7790340035214832,5.425259453128423e-52,249
81.25,-46.75,-0.7784976289178245,0.7784976289178245,7.056339997374845e-52,249
80.25,-58.75,-0.7784061322265979,0.7784061322265979,7.379403108924446e-52,249
81.25,-58.75,-0.7759128698823006,0.7759128698823006,2.478888093543943e-51,249
82.25,-44.25,-0.7752372218535317,0.7752372218535317,3.4331608107420705e-51,249
63.25,-42.25,-0.7752089385897615,0.7752089385897615,3.4801990995680214e-51,249
70.25,-28.75,-0.7745817942727341,0.7745817942727341,4.703576729514489e-51,249
