lag_months,regional_r,regional_p,regional_r2_percent,regional_n
0,-0.8916394875283323,5.631547285884916e-87,79.50209757197871,249
1,-0.8929459239665649,6.783695080853133e-87,79.73524231285023,247
2,-0.8927080851775598,4.3359281548422325e-86,79.69277253413854,245
3,-0.8930826620292441,1.440030442033987e-85,79.7596641217241,243
4,-0.8931845044073387,6.415648516768131e-85,79.7778558913383,241
5,-0.8923240432985273,7.819151378073279e-84,79.6242198248632,239
6,-0.8917506202867137,6.945811560115379e-83,79.52191687817385,237
